latitude,longitude,elevation,slope,aspect,label,spatial_group,date,rainfall_7d_mm,sar_vv,sar_vh
27.05374234,88.42572376,232.0,25.740703582763672,199.65382385253906,1,27_88,2011/07/19 00:00:00+00,406.6,0.0,0.0
27.5161,88.5575,1342.0,14.973027229309082,284.0362548828125,1,27_88,2011/09/30 00:00:00+00,75.7,0.0,0.0
27.0136,92.6351,225.0,4.635463237762451,126.8698959350586,1,27_92,2016/07/01 00:00:00+00,111.6,0.0,0.0
26.1961,91.7825,124.0,12.274187088012695,116.56504821777344,1,26_91,2016/06/22 00:00:00+00,149.9,0.0,0.0
27.0076,88.251,2257.0,15.207433700561523,107.3540267944336,1,27_88,2015/06/27 00:00:00+00,143.0,0.0,0.0
27.0096,88.2548,2315.0,20.32952117919922,113.19859313964844,1,27_88,2007/08/29 00:00:00+00,132.5,0.0,0.0
27.4,92.35,2624.0,25.303842544555664,337.8336486816406,1,27_92,2008/10/29 00:00:00+00,131.8,0.0,0.0
27.0816,88.4397,252.0,22.508481979370117,300.5792236328125,1,27_88,2015/07/07 00:00:00+00,223.9,0.26786959171295166,0.13101032376289368
27.6163,88.6586,1845.0,29.826932907104492,135.0,1,27_88,2015/05/24 00:00:00+00,198.20000000000002,0.0,0.0
27.8385,88.556,3827.0,17.477231979370117,55.491477966308594,1,27_88,2012/09/19 00:00:00+00,212.2,0.0,0.0
27.3425,88.6236,2049.0,35.51536560058594,111.31790924072266,1,27_88,2007/09/10 00:00:00+00,471.59999999999997,0.0,0.0
26.1662,91.7138,143.0,19.652921676635742,177.39743041992188,1,26_91,2013/05/11 00:00:00+00,83.10000000000001,0.0,0.0
27.0765,88.4808,1212.0,18.052959442138672,84.2894058227539,1,27_88,2010/06/16 00:00:00+00,95.6,0.0,0.0
26.1985,91.7998,83.0,10.276260375976562,79.69515228271484,1,26_91,2014/09/22 00:00:00+00,192.8,0.0,0.0
26.1768,91.7702,83.0,27.932462692260742,156.57130432128906,1,26_91,2016/07/14 00:00:00+00,140.2,0.0,0.0
27.593,88.492,3237.0,46.014713287353516,72.69947052001953,1,27_88,2016/08/16 00:00:00+00,133.5,0.0,0.0
27.1499,88.38,1107.0,30.27569007873535,270.0,1,27_88,2007/07/16 00:00:00+00,305.0,0.0,0.0
27.3746,88.7648,3748.0,5.855801105499268,18.434947967529297,1,27_88,2009/08/26 00:00:00+00,182.4,0.0,0.0
27.04,88.264,2080.0,11.04906177520752,355.2363586425781,1,27_88,2009/07/22 00:00:00+00,108.2,0.0,0.0
27.06826195,88.28121204,1730.0,3.825169801712036,345.9637451171875,1,27_88,2007/09/05 00:00:00+00,245.7,0.0,0.0
27.3736,88.7323,3426.0,30.55246925354004,74.05460357666016,1,27_88,2013/09/07 00:00:00+00,161.6,0.0,0.0
27.0087,88.443,317.0,34.37848663330078,148.5704345703125,1,27_88,2015/06/17 00:00:00+00,107.0,0.0,0.0
25.5576,91.8506,1686.0,4.635463237762451,233.13009643554688,1,25_91,2007/08/26 00:00:00+00,74.5,0.0,0.0
26.1666,91.7042,236.0,16.10456657409668,38.1572265625,1,26_91,2015/09/23 00:00:00+00,0.0,0.0,0.0
27.3425,88.2426,1388.0,25.816593170166016,13.5704345703125,1,27_88,2013/09/01 00:00:00+00,145.6,0.0,0.0
26.1964,91.7652,81.0,12.916404724121094,261.8699035644531,1,26_91,2014/06/28 00:00:00+00,172.8,0.0,0.0
25.08734272,91.75063827,11.0,0.9290392994880676,270.0,1,25_91,2017/01/23 00:00:00+00,0.0,0.0,0.0
27.02149311,88.25902123,2320.0,21.147321701049805,123.02386474609375,1,27_88,2017/07/06 00:00:00+00,288.8,0.1512427181005478,0.047706782817840576
26.1868,91.6739,51.0,2.9355664253234863,288.4349365234375,1,26_91,2015/09/01 00:00:00+00,260.5,0.0,0.0
25.82601444,91.87113067,622.0,16.785362243652344,143.74615478515625,1,25_91,2017/07/09 00:00:00+00,227.9,0.2501981258392334,0.050003472715616226
27.2872,88.2816,575.0,19.138931274414062,322.5946350097656,1,27_88,2007/09/18 00:00:00+00,49.5,0.0,0.0
27.0713,88.4308,281.0,28.326976776123047,353.0887756347656,1,27_88,2007/08/25 00:00:00+00,0.0,0.0,0.0
26.048,91.8695,75.0,11.662014961242676,135.0,1,26_91,2015/09/05 00:00:00+00,505.5,0.0,0.0
27.2879,88.2579,1506.0,27.810007095336914,135.0,1,27_88,2011/06/23 00:00:00+00,178.70000000000002,0.0,0.0
27.15977181,88.63411246,802.0,31.328975677490234,228.2397003173828,1,27_88,2009/08/16 00:00:00+00,449.1,0.0,0.0
26.49349035,91.72137514,62.0,1.3137449026107788,315.0,1,26_91,2015/09/01 00:00:00+00,181.9,0.0,0.0
